"","x"
"1","TSPAN6"
"2","TNMD"
"3","DPM1"
"4","SCYL3"
"5","C1orf112"
"6","FGR"
"7","CFH"
"8","FUCA2"
"9","GCLC"
"10","NFYA"
"11","STPG1"
"12","NIPAL3"
"13","LAS1L"
"14","ENPP4"
"15","SEMA3F"
"16","CFTR"
"17","ANKIB1"
"18","KRIT1"
"19","RAD52"
"20","MYH16"
"21","BAD"
"22","LAP3"
"23","CD99"
"24","HS3ST1"
"25","AOC1"
"26","WNT16"
"27","HECW1"
"28","MAD1L1"
"29","LASP1"
"30","SNX11"
"31","TMEM176A"
"32","M6PR"
"33","KLHL13"
"34","CYP26B1"
"35","ICA1"
"36","DBNDD1"
"37","ALS2"
"38","CASP10"
"39","CFLAR"
"40","TFPI"
"41","NDUFAF7"
"42","RBM5"
"43","MTMR7"
"44","SLC7A2"
"45","ARF5"
"46","SARM1"
"47","POLDIP2"
"48","PLXND1"
"49","AK2"
"50","CD38"
"51","FKBP4"
"52","KDM1A"
"53","RBM6"
"54","CAMKK1"
"55","RECQL"
"56","VPS50"
"57","HSPB6"
"58","ARHGAP33"
"59","NDUFAB1"
"60","PDK4"
"61","SLC22A16"
"62","ZMYND10"
"63","ABCB5"
"64","ARX"
"65","SLC25A13"
"66","ST7-OT3"
"67","CDC27"
"68","SLC4A1"
"69","CALCR"
"70","HCCS"
"71","DVL2"
"72","PRSS22"
"73","UPF1"
"74","SKAP2"
"75","SLC25A5"
"76","MCUB"
"77","HOXA11"
"78","POLR2J"
"79","DHX33"
"80","MEOX1"
"81","THSD7A"
"82","LIG3"
"83","RPAP3"
"84","ACSM3"
"85","LOC81691"
"86","CIAPIN1"
"87","SPPL2B"
"88","FAM214B"
"89","COPZ2"
"90","PRKAR2B"
"91","MSL3"
"92","CREBBP"
"93","TSPOAP1"
"94","MPO"
"95","PON1"
"96","GCFC2"
"97","WDR54"
"98","CROT"
"99","ABCB4"
"100","KMT2E"
"101","RHBDD2"
"102","SOX8"
"103","IBTK"
"104","ZNF195"
"105","MYCBP2"
"106","FBXL3"
"107","ITGAL"
"108","PDK2"
"109","ITGA3"
