MAARS_1_003_03	MAARS_1_008_03	MAARS_1_016_03	MAARS_1_017_03	MAARS_1_044_03	MAARS_1_045_03	MAARS_1_057_03	MAARS_1_075_03	MAARS_1_082_03	MAARS_1_083_03	MAARS_1_085_03	MAARS_1_088_03	MAARS_1_090_03	MAARS_1_093_03	MAARS_1_097_03	MAARS_1_098_03	MAARS_1_100_03	MAARS_1_101_03	MAARS_1_102_03	MAARS_1_103_03
TSPAN6	7.38198299996206	7.46731429422471	7.53384425976575	7.20587549517129	7.36174215359598	6.85406121192001	7.2585245013965	7.18658615468714	7.55682760006086	7.13017239984201	7.80568846271383	7.36865296408665	7.16045393040268	7.15170935501407	7.20724064711257	8.18789878423426	7.509586582782	7.24016344129121	7.89252999158986	7.61320997329537
TNMD	4.20753789485877	3.84619601446672	3.65009774318652	3.3609852341707	3.92703816663723	2.89624166104737	4.2951898854832	3.97142525961369	5.73694463432845	3.77958030788513	3.30215105819387	5.32998519934081	4.08977339589196	4.74140047134829	3.58547090204245	4.30775316425899	3.64141832304157	4.33022256784505	4.53173473417193	4.22011463260461
DPM1	9.60910785092513	9.61451349590041	9.7841261557667	10.1868014729517	9.69331753805452	9.97395532411662	9.65798206796553	9.71556212122023	9.83907746815844	9.93194918888406	9.84360611172291	9.91896885821395	9.69333946006145	9.55581378146629	9.48322668226791	9.89486025183142	9.75634601209755	9.91904697576179	9.94018778599274	9.67338561239869
SCYL3	7.07099754199405	6.98028958462582	6.92372143129009	6.91742877278165	7.26524722400163	7.05514438814196	7.29961643682504	6.94519963490411	7.12592776459535	6.95753752530763	6.46555483488071	7.00495653906098	6.76753007878867	7.06783249711886	7.2261013996786	7.15855370955309	6.89301293525196	6.99707868652839	6.98446128354433	7.15325979289025
C1orf112	5.99333231935934	6.00197045444065	6.30110136204848	5.65485560305592	5.96313994264029	5.91881008061509	5.8778807214502	6.23218248998243	5.82953621885782	5.70758854119499	5.93368251997661	5.64323438905949	6.30016118826451	5.93722092298923	5.5686521207567	6.28967943551169	6.16017871784556	5.89166402111172	6.0381439595856	5.70058625937933
FGR	4.43987968848491	4.3490797330247	5.05060896058778	4.72785124707859	4.50229954723797	4.56578510347385	4.08961344865087	4.24957843245968	4.48537752432248	4.6435089471861	4.2022943443139	4.12090647734471	5.19056408694985	4.39156336796603	4.48564672846033	4.41032237157708	3.9581121483581	4.30677502523214	4.40688086377784	4.52757437905337
CFH	9.25854756448214	8.58666762282912	8.40491162610651	8.61692649754172	7.67105447418514	7.5908678671801	8.18347500708899	8.56615572997306	9.00238432321566	8.51704625374122	8.04551453553544	8.77786741044573	8.49821044161625	8.76958670474638	8.53385322587484	8.52440192621607	7.54167430386542	8.59092098004362	8.85245145516073	7.89376363384381
FUCA2	7.92575246613461	7.13897216536128	7.44419920717129	6.76208406453449	6.9235261581643	6.870689693441	6.35515844584508	6.80620529679609	7.1056593616214	7.1459280935035	7.47121149802611	6.84931107946283	7.54333698642799	7.57424829515546	7.40476739120164	6.9217792699891	6.8845479924628	6.87939786885137	7.20054587949211	7.1420177147582
GCLC	7.05643175170747	7.33637317301139	6.89470151500525	7.10069819566228	7.06444572435074	6.86316934549159	6.83651221158718	6.99496219995945	7.21324890207032	7.15475303787542	7.43321691237028	7.02978125340365	7.09548389689645	6.86452587059552	7.2619544337137	7.30693015419542	7.24133070752583	7.03983745610633	7.13616251999284	7.50310531750814
NFYA	7.76206795888869	7.7027878525111	7.89025051763828	7.63507741845739	7.95680351305587	7.78961326767509	7.66258854712307	7.97514584582126	8.15512196984631	7.79565097536736	7.72283391547822	7.81197880200745	7.86921112323875	7.93284443546423	7.45616823570786	8.09802623491381	7.74855095329889	7.79774909894363	7.65434121385839	8.18929524649866
STPG1	5.00997072786816	5.12527086194058	4.85746700010586	4.84801884212091	5.29564515868524	4.99150989111753	5.16461935093357	4.96739194700152	5.23980317158368	5.13836305737287	4.9984178826713	4.9628229400504	4.97811912292759	4.99870718334179	5.09598514815423	5.04250074236825	4.9625020308266	5.2638907144307	5.04731808348092	4.9445529852381
NIPAL3	6.96058347289134	7.18911593552576	6.51979143782713	6.80180534637821	7.08822884396081	6.94342496128469	7.54420363744509	7.06874972137921	6.96747006385477	6.88808612093951	6.61239895696881	7.07789957764493	7.05092805686107	7.23668441933469	7.20382479180573	6.8526603336842	6.98885436496476	6.95900232592254	6.97637333684687	6.65273350987677
LAS1L	6.87923942432029	7.01546530630223	6.82864910016183	7.19865819678293	7.00546132529605	7.16094735631401	6.9094277665579	7.30747793538824	7.22327823056113	7.02394242535629	7.00244190585917	6.79933126318402	7.03053139737125	6.9962484506452	6.74846501835107	7.01963569093247	7.05636135303081	7.15333522513914	7.26166700327674	6.8264162910909
ENPP4	6.35479179719043	5.76492779176479	5.94887344052785	5.63384910762076	4.98670886840919	4.76973991351211	5.35407125519635	5.9087226398468	5.81278429998232	5.48066831225025	5.36991728082641	5.52322426283379	5.44677529141878	5.48930124866982	5.38769381549198	6.29594575398417	5.58208694631246	5.52703864768763	5.73050821336024	5.21761678145405
SEMA3F	7.84359751272967	7.9922605495391	7.73189817700682	7.51188462144471	7.97676798771165	7.89623422055054	8.07322435082918	7.79915213208063	7.39946128736779	7.62329329192481	7.58097774027821	7.94260073960772	7.93553959785018	7.84312190857802	8.13036795282832	7.51079885083258	8.16382510482307	7.82901404333227	7.7926315346151	7.82433789291938
CFTR	4.23730643275498	3.83826661071099	3.82019963211874	4.37180554869559	3.66242915178146	3.81624459994409	4.32648812078803	4.63222328418723	4.98135848009047	3.85356880052711	4.19659407145014	4.31751715199666	3.83674767091384	3.89534877653559	4.12656514641938	3.81476297527196	3.9193629908322	4.51031971109468	4.38418982033029	3.71586409372101
ANKIB1	8.85904398252725	8.95667296381197	8.80275252444167	8.76678563291418	8.75494559158884	8.54461367692299	9.16624517454034	8.77035282707297	8.97916176267299	8.66971660888335	8.74922368750931	8.75126528057625	8.65253838753246	8.8765073044148	8.84340419250333	8.97504602926321	8.74898282201835	8.62563406161291	8.81283097555045	8.89896446731133
KRIT1	8.56559030265007	8.64264267720534	8.56019145933367	8.41588689168761	8.60374657225042	8.54460619273016	8.80260906849648	8.66827386250007	8.54850323854997	8.51484460510441	8.47571237418304	8.50812413434714	8.49563598096716	8.59789036262915	8.50766548739342	8.71065235302713	8.56800739866838	8.49868353643769	8.57275952327176	8.78533216734309
RAD52	6.20201884882272	6.32722016693684	6.55313011330713	5.97958779829181	6.28341005449889	6.26102604358304	6.58461783557913	6.61086799996959	6.44743961193831	6.23848542663454	5.97681274205163	6.4363897213788	6.03549846189393	6.46387365308328	6.35248899790383	6.86230650687473	6.13920470892124	6.3192838118713	6.26622868528185	6.85033412702886
MYH16	3.51037728599524	3.45287311100894	3.52979171116926	3.63118796646211	3.67337283531048	3.72010067717405	3.55311002705559	3.62071017656004	3.5938856949052	3.61925691459793	3.8110488460342	3.5121493971774	3.62633637491389	3.55481875130325	3.64196980718066	3.48943594616285	3.62148872827858	3.74822690296119	3.55995277965012	3.65383287914067
BAD	5.96539615537199	5.98210086782842	5.86158601407458	5.58222089597499	6.06238427191975	6.18873119039549	6.01181892199949	5.99411939472883	5.86324250876256	6.1684052960519	6.23419896386866	6.28055235363686	6.06909721186428	6.1125946236961	6.42418785916249	6.05339896996214	5.83512550759464	6.01528926513183	5.99913964098436	5.97247229154799
LAP3	6.75538971449164	6.37937970697163	6.86620508064884	6.6099683297191	6.61493216836486	6.40524832501596	5.99165885786924	6.54525822163789	6.73036487568472	6.54406934043215	6.1502761683188	6.36721958328797	6.51234292497162	6.2191350110344	6.20964917012256	7.11979455730399	6.19801961079428	6.65046874016764	6.62944368821693	6.70873372464484
CD99	9.39684394903788	9.23529585136775	9.09677672709471	8.79605511358879	8.9614955156134	8.79544844109112	8.8024307312378	9.0652711353099	9.21105029386661	9.13814071291108	9.17610213086723	9.007065112817	9.08321499100209	9.36885490390632	9.3577144789718	9.18595983141666	8.69307116661491	8.95051919143803	9.12801278603998	8.82707145311407
HS3ST1	3.78764738089514	3.96933120593829	4.41096494991638	4.23034371905109	3.77720575829222	4.06060330466379	3.85448431223059	4.09001214912636	3.99610394370191	4.09807224187398	4.31797551738619	3.99522120631698	4.21281108916147	3.70155879169885	3.96221589723759	4.00653273671494	4.3274487034174	4.00312684013525	3.9619658794474	4.4234223685502
AOC1	3.99571269965176	3.98722788722637	4.40431691724698	4.08939241260979	3.51690145983215	3.90920005133823	3.89194256878653	4.20132675832142	4.29540654234602	4.52167572285309	4.07151111289983	3.84768727697803	4.33847389681204	3.76727865138948	4.12452271728539	4.18932555265131	4.15291664586061	3.7636767757004	4.22155824530456	4.13589516462119
WNT16	6.39265452988765	6.82778711850376	7.98424809952971	7.22509972791593	7.66706415709549	8.16963610069843	8.16928216163292	7.61193326938154	8.17820723133134	7.77581628793037	7.09105164705537	8.16859665023906	7.47301008058749	7.13076418582925	7.3937454230084	8.3094956448057	7.61706863672606	8.00902274149531	7.77604240837286	8.62057497186669
