MAARS_1_012_03	MAARS_1_029_03	MAARS_1_031_03	MAARS_1_033_03	MAARS_1_035_03	MAARS_1_036_03	MAARS_1_038_03	MAARS_1_040_03	MAARS_1_042_03	MAARS_1_043_03	MAARS_1_048_03	MAARS_1_053_03	MAARS_1_056_03	MAARS_1_059_03	MAARS_1_060_03	MAARS_1_063_03	MAARS_1_065_03	MAARS_1_069_03	MAARS_1_070_03	MAARS_1_073_03
TSPAN6	7.62165741902003	7.35338503942237	7.75133515664741	8.02607583116617	7.93307230890587	7.66556565110288	7.35615424684601	7.65022649457672	7.62678294342757	7.79422447766024	7.14203019933802	7.37426277164406	7.51577155605034	7.86336042634991	7.7130782161777	7.69392854165482	7.75557581353209	8.38214107211602	8.11105108761993	7.52414047519725
TNMD	4.40998033405417	4.60737370989234	5.59429460444516	4.20463246145218	4.30225328670928	4.46841196467246	4.61470129363807	3.76394079575471	4.70424100838336	4.7198549487251	4.09866350578316	4.50067991292985	4.82297727891571	5.45298489760745	5.98911939524901	4.66888287335777	5.96437581520432	6.24275622632429	5.03213166215382	4.51540390935452
DPM1	9.66971809390564	9.0363252716766	9.19762719076904	9.18140598702374	9.50458436627332	9.49370808115574	9.11809789505218	9.51765528394872	9.4667328080034	9.51599958891449	9.58847587994707	8.84230415553891	9.65716020921586	9.5347347760095	9.38595130174053	9.1141367289342	9.40832862034486	9.45640765149078	9.35248380540245	9.09949160237632
SCYL3	6.80976664177028	6.94345056963921	6.91593542723422	7.22819498117939	7.00022675538532	7.20533049614827	7.07658897744023	7.19191317378902	7.00766033312787	7.13021159270023	7.04188002396304	6.8357894321822	7.21076805716906	7.16198058362271	6.93552703455393	7.01238493462947	7.11030757503234	6.95648910109352	7.10418406196735	7.2537436189301
C1orf112	5.72396053498549	5.72715587976829	5.77263325794503	5.57086008829686	5.54773296178437	5.7374682185573	5.8854593254159	6.11971870049751	5.8168210845514	5.73205497480998	5.75017310164297	6.01396096420762	5.77326417837018	5.89689240181542	5.59711421009322	5.89521525695336	6.02739182120071	5.87581040311847	6.08852792499268	6.46694739411009
FGR	4.25440889070368	3.88554811899371	3.82088891252823	4.1552227471542	3.7327555239938	4.21238050688224	4.05701315824655	4.1632468203469	3.82660405715232	3.65368550434264	3.78760952793925	3.92161197432834	3.97474226962343	3.81740138270651	3.79060950695615	4.11323068773545	4.16427688884559	3.91944647985952	3.80227788956179	3.78639766236264
CFH	8.55355388623026	8.16846613050183	8.40252049834506	7.98897526068725	8.71509646958266	8.59220201514472	8.92497412027999	7.79900923692218	8.46831600563749	8.21244612982212	8.54668209742769	8.20755044972012	8.85573868903201	8.73326351974738	9.19412995896126	8.81369168575328	8.80230009534878	8.92710136505947	9.39534817314807	8.47100785443972
FUCA2	6.79262950052695	6.95206257104499	7.08257654832035	6.72767215376222	6.9667201041902	7.11380104560939	6.6662149716528	6.66966436378156	6.63083923726084	6.59768219352556	6.76022358433106	6.80191321695411	6.64668771611911	7.00095073520579	7.22318164972743	7.38797098793392	6.73033078962008	6.63858048131638	6.88448030837142	6.72159712816386
GCLC	7.08538665212613	7.33247564811279	7.1989573275367	7.08879732984634	7.38187631886119	7.20342113710705	7.10155918950736	7.44657874245083	7.09706599765625	7.36021502724972	7.18390939442352	7.21430353252002	7.24506083420846	7.40000663376021	6.87360587996267	7.25293369280651	7.16705930859147	7.42878619250309	7.19229988137466	7.21420461491279
NFYA	7.6926643133699	7.30539439471928	8.35427854892646	7.87328222433301	7.54803740624481	8.13178254526824	7.904894465156	8.309913757024	8.01762293041176	8.11133774874592	8.1323799378297	7.95325156488003	7.80313857275106	8.10458706496599	7.95250608835288	7.95414243744106	7.95286094627951	7.68458256704579	7.56229398991745	8.31701256818339
STPG1	4.9604635271599	5.38724942313872	5.3367625484588	4.95509524132128	5.10978263391142	5.12322900772343	5.22604141154878	4.93347262922882	5.35189989249551	5.35594112698715	5.05770334146845	5.19876683308984	5.16974750188699	5.42801068510795	4.84570513682326	5.13040577651454	4.93305687690284	5.12422400084824	4.94202425504275	5.11917622854584
NIPAL3	6.94793356300543	7.37892870839646	7.04466421554646	7.36774091106826	7.17611447840201	6.89745871362595	7.2251504995042	7.36196585345959	7.18708824089479	7.02774911462673	7.08399766918758	7.38475137361586	7.45730184403835	7.24039453437651	7.1828788767987	7.02497029346661	7.17984895161754	7.14533488710367	7.29943791167543	7.36082155058389
LAS1L	7.1711148664193	7.26228847876766	7.12752083291757	7.14750025910329	6.99861624596527	7.07864732520963	7.18332777922956	7.29463875345522	7.12314233942633	7.1310626810847	7.19965384219629	7.38777317018864	7.17160016198125	6.95336289999227	7.15411336078182	7.12038397538243	7.19763471964214	7.13902306700456	7.30039819652108	7.47130275109529
ENPP4	5.99944375093729	5.12031913304441	5.65147430269778	6.33370541163606	5.89059034846906	5.40188187273978	5.55847091855218	5.06122909535362	5.75063885543277	5.3761249927628	5.65954951591363	5.62271620553429	5.66985784688221	6.06196634288581	6.73445096492903	5.94974037385563	6.06417916420219	6.2893675768262	6.34261861386519	5.60080772764283
SEMA3F	8.08232602524141	8.62993456840646	7.9378850176064	7.92647526010348	8.19383028744589	7.88947814570723	8.08463800692483	8.08468958605656	8.05632086714787	8.08660152982768	8.05511746169235	8.2316999176518	8.10329403363732	7.69023154364268	7.56504092457399	7.91195630115916	7.844279471638	7.80460288089256	7.88304376922994	8.08403630253921
CFTR	4.07568691256582	4.2057812412112	4.54477568949418	4.74717954261425	4.14006309412421	4.71714075769363	4.18020608187628	4.04299194180183	4.87413100351867	4.77921149752482	4.4661163969682	5.18526294601148	4.80920348425457	5.07719856356571	5.40036834502254	4.78626223955947	5.03497685142098	4.61416554618387	4.58824853611325	4.62092026967581
ANKIB1	9.11537474048382	8.93820996382552	9.03424466032493	9.01044626165802	9.13472652790701	9.09403877118963	8.78920519252339	9.05536140087879	9.10873663194476	9.08228751386496	9.05209726400519	8.91777044059082	9.37558512408236	8.90701562602716	9.01978589262504	8.9833610050884	9.07582992632628	9.05280553195215	9.16659712963382	9.2017151762774
KRIT1	8.94945999432786	8.56006103550136	8.7231788180066	8.68152926140721	8.90510016954734	8.58883106735738	8.66059508146883	8.78217431253395	8.78982386202037	8.90661917097364	8.47277102818253	8.76969922807968	8.93432719758832	8.45381512981569	8.69444816470981	8.81226380142728	8.75948489248478	8.62713610944153	8.95342087117209	8.73356385721667
RAD52	6.32834924834065	6.4601461009016	6.73858427197663	6.25515734996397	6.34676395653895	6.74044695147453	6.62548398265683	6.83933430540739	6.5987457911866	6.07990017367972	6.36363989955156	6.59223892941998	6.30678479415345	6.5026695626908	6.16920126817464	6.55619981638622	6.4647169405134	6.17127124932875	6.79551315179683	6.5084281545276
MYH16	3.69749632880113	3.67016281627928	3.50257713061999	3.67736253917788	3.62661912149161	3.602902969575	3.48307833647684	3.64558501202429	3.70304227031482	3.65725513245838	3.69167932877504	3.58879585290515	3.70124696769073	3.6012869607877	3.51976894624234	3.51924613270949	3.517508422701	3.63376298386208	3.61097566148899	3.64446754801888
BAD	6.06061867433904	6.10027105520164	6.17960630453012	6.06915720047055	5.87644972519902	5.97472326597612	6.10280999075753	5.94240759697762	6.2081821778445	5.68242404481648	6.39430713189219	5.8062122211877	5.70396222664472	5.9914692403953	5.57557250458997	6.15109846234732	5.49458460490959	5.77619038251083	5.58587653838934	5.82980769519421
LAP3	6.03106071820328	6.03315371146453	6.17631865248427	6.27980551895468	6.02208116598325	6.02456620493925	6.16609630889989	5.86134045029163	6.06066956272017	6.14419432239904	6.01310559235607	6.06439489123807	6.09673230906164	6.89289964675375	6.09552355845524	6.09429488175098	6.54880688402746	7.02907400814097	6.06264581324969	6.26046704398922
CD99	9.25573572688696	9.28401974472032	9.25026249768237	9.29286739565114	9.35451594507446	9.36606867983132	9.35286600864391	9.05584251291281	9.19485349283655	9.1042105038614	9.3324057422674	9.17600182734419	9.20529081076027	9.2893613913008	9.44699737609208	9.33198071048029	9.26321033626985	9.35210603651784	9.24425233212229	9.16455314889823
HS3ST1	3.57058778978803	3.89444759266503	4.06786831712793	4.15585431566918	3.44017323696223	4.14839041297294	4.31503654064559	3.94373710636053	4.34028778389357	3.8695481579999	3.94013836407682	3.7192774355326	3.83602907530606	3.93918527799192	3.87528072813649	4.14552124861844	3.72848164846522	4.0639998262247	3.73178970086365	3.78427852593396
AOC1	3.53584673906519	4.21779598908062	3.72131327631205	4.74778834142657	3.95599952470781	4.06094152276637	4.26800100206549	3.6811466759374	4.50028591598758	3.99813499332203	4.4176709934587	4.06964576473581	4.21464330309764	4.14991406032579	4.23927120757204	3.78625345869251	3.79733126574169	4.12627121487068	4.06993941511902	4.28587627159674
WNT16	7.99668625218977	8.16642306411191	7.97107077022912	7.77738850010143	8.18017673698994	8.34449668762103	8.03245749948269	8.23860737995093	7.90235660715228	8.15740238418991	8.25385875076272	8.2365947441023	7.23713411171664	7.88450036002356	7.39737128714417	7.17008849260967	7.84265214875064	7.8055750939068	7.85532435519548	8.01802357773094
HECW1	3.82688347860037	3.54145716647871	3.8122749083556	3.785066788458	3.90413633427557	3.95887604317045	3.99353470840953	3.76446543399472	3.70230732332647	3.9711800307548	4.30377460038712	3.72361924052602	3.38419590321299	4.00174700545085	4.07507743006497	3.78194046458296	4.15478802285681	3.77578771780622	4.13920630788457	3.82707096623857
