MAARS_1_002_03	MAARS_1_004_03	MAARS_1_005_03	MAARS_1_006_03	MAARS_1_007_03	MAARS_1_009_03	MAARS_1_010_03	MAARS_1_015_03	MAARS_1_019_03	MAARS_1_020_03	MAARS_1_021_03	MAARS_1_024_03	MAARS_1_030_03	MAARS_1_032_03	MAARS_1_049_03	MAARS_1_054_03	MAARS_1_058_03	MAARS_1_061_03	MAARS_1_062_03	MAARS_1_066_03
TSPAN6	7.7502737442498	7.38361619985458	7.50154984024875	7.82106340643707	7.7130480076525	7.74874782442585	8.19528243789692	8.37682760664187	7.83176424394105	7.86567918703512	7.68987155321236	7.63202074402113	7.3411451777403	7.84960228111076	7.84995084720704	7.28184307484617	8.00834839257802	8.03517472102438	7.30296225668768	7.46417156238575
TNMD	4.31942729380734	3.5142841019175	4.22922249082801	4.99883771134706	3.82879662626869	4.37510441589479	4.41729738163486	3.90558738649358	3.96601765508322	3.91638473668051	3.80221527822912	3.52186131832697	5.14882560664391	3.93092942017281	3.17879829239054	3.88250036040286	4.0564442220711	4.55072278883361	3.31913567626112	4.06870902528912
DPM1	9.69538590452438	9.81912594114382	9.61708150607484	9.90393355442568	9.86106197672716	9.75617410228393	9.61290199148821	10.1029196546447	9.88994910841581	9.87190644743379	9.88612468515737	9.66063584763618	9.95724194900244	10.0645265346675	9.92483913465134	10.0878640925938	9.5433891719734	9.98396980239939	9.76168267606554	9.63394846920605
SCYL3	7.01995206625403	6.86681583223105	6.85831268170134	6.63021188728864	7.02461872132973	6.99956146571129	7.15543096502141	7.03432789548101	6.98437041201402	7.11205202221393	6.94486218423347	7.11360177786058	6.90894221458286	6.7412513397575	7.07531787326885	6.75479394151892	7.15337299950282	6.92282326776743	6.97806646519475	6.84875447528709
C1orf112	5.60270757647306	5.86700904154728	5.9070562567878	5.76577382162147	5.48847004973859	5.92354444695992	5.83756312135691	6.18371122813095	6.03084251411027	5.82226247857019	6.02361139394484	5.8243624748296	5.54508010700001	5.87258811889971	6.00592324705119	5.8415045238707	5.85577266895674	5.68128695201954	6.15919691203434	6.2508036598093
FGR	4.65881140518816	4.67810994181762	4.26123138023743	4.43268692919219	4.39866385075479	4.40747007666169	4.20908629300655	4.03671823922532	4.43027078657414	4.54978986631738	4.5993879768492	4.30658081888851	4.71298652182147	4.52046594556297	4.5109564334471	4.5397985408454	3.75303776446652	4.02915413779753	4.49899842478199	4.4807772410205
CFH	8.17451047487786	8.21437218660963	8.11873202010173	7.83556808166804	8.20511700676944	7.9337138838245	7.81107707346798	7.27630388937908	7.78667867494227	8.16185231432252	8.31535187388409	8.48021799348538	8.63501914126035	7.5309740694797	7.73716114385588	7.84617685499984	8.52541262220824	8.30685098186521	7.78614515156237	7.78467175929638
FUCA2	7.26582970773255	7.13906634404404	6.98520515606387	7.06524671747631	7.08954940596628	7.14294578133491	6.43889531123419	6.80541725123163	6.92296366448289	6.99537920483605	7.2959729658203	6.95132975885804	7.08373106076934	7.04108503458657	6.93589345964071	6.99083656178299	6.93937999813576	6.95729635549399	6.97299385469136	6.84333392875877
GCLC	7.26572624981166	6.59026916182846	6.89668636539637	6.95191839867682	7.17303625381698	7.3520576059243	7.24251358278883	7.39858774394285	7.38788356897701	7.39585058365661	7.0245783416362	7.74349691999233	6.73523715906384	7.09621176393683	7.08029489595306	7.69462424270223	7.49302529121327	7.10928411607937	7.13745358502475	7.50997082196736
NFYA	7.76215261756613	7.7840400988269	7.84915796225514	7.8886261714031	7.88791167447884	7.7312190769047	7.81079071288181	7.84630353143301	8.00960253949819	7.83830826690345	7.76873345002182	7.78116760801423	8.04712970781755	7.86426914617021	7.9290703705614	7.34237421939774	7.91638184441048	7.62748712296912	7.89534586491643	7.82260339763442
STPG1	5.24012338622406	4.93719767909984	4.95591635167138	4.99470160453496	5.11506218045016	5.07363192517407	5.51639517284065	5.08270419428349	5.23170457798988	5.36190042899356	5.11438469412506	5.22746429159846	5.06111184953662	4.94133084817436	5.41920804490432	5.0156537397623	5.39496531653212	5.0916434828539	4.98704337909896	4.95981592010037
NIPAL3	7.03107361791221	6.68584690986194	6.93276032050969	6.80000438576663	6.82916276180942	6.95459612406423	7.13090807677277	6.88782862206885	6.82079281612205	6.74310913800993	7.17876434225422	6.96384948118272	6.74257786515156	6.59445190639928	6.78551073802644	6.7728207365835	7.02027171532561	7.15760346501973	6.80406898318217	6.88620847417772
LAS1L	6.99280589043397	7.26923895706041	6.99097500922291	7.18985216342348	7.01476783256035	7.01315907140201	7.03175287057938	7.22343352221627	7.12015350004004	7.03555931487013	7.09006743875126	6.65128845085111	7.24317345817559	7.16601907608305	7.21399510680293	7.31290982093832	6.96565789548619	7.26228171919092	7.31538254775799	6.97570695278023
ENPP4	4.7023859906319	4.71355740002649	4.7697902096677	5.29470219717246	5.25559444013574	5.60350864271739	5.27118843251747	5.31464551796419	5.37591366153104	5.5524458965461	5.42241388032449	4.80743207666256	5.64185276032347	5.14631496331564	4.7384991671148	4.80837148056198	5.65995384983814	5.85608751479441	5.13214616190455	5.24267175700698
SEMA3F	7.45497731343191	7.63898858837632	7.91602045839351	7.52623157158169	7.83484519668314	7.68462156379926	8.01224198293824	7.62795079991232	7.93652399355348	7.59796665080502	7.78459357248097	7.92917859533383	7.53442132287186	7.48214621608418	7.70822052857124	8.15566062118343	8.0672895877076	7.62371272750678	7.6068269157357	7.66923031644234
CFTR	4.14088120919182	4.60740176486892	4.1683784969587	4.53974035467122	4.39361019127398	4.21669004126489	3.98621049334877	4.20077847396439	4.36998396451228	3.95332056886599	4.3494637074993	3.72294272807172	4.1371572545006	4.28746832763284	4.11334604434749	3.72283865680098	3.87915478315718	5.00083437747476	4.16848036377273	5.00013229217546
ANKIB1	8.3790807992994	8.61571065221651	8.64801983713473	8.64166482571379	8.79507137652754	8.54717643090973	8.76208748205902	8.41829800572005	8.57014212292308	8.62942184945353	8.52030063310859	8.68068909061587	8.73944812656732	8.64608362271005	8.59356485156984	8.66053155481763	8.92979203094875	8.79237790790879	8.5810408239142	8.61006731697851
KRIT1	8.29594584206499	8.39236683987556	8.15907262019525	8.36780631995647	8.41366598235151	8.29662755731603	8.36972773126177	8.19839754414954	8.33964278952949	8.33923434229845	8.15340731447902	8.45713719035835	8.49464282502844	8.29434687157626	8.35220448616219	8.31696984766418	8.7486146158141	8.39927567076255	8.47928360096407	8.53042388793387
RAD52	6.43793181765939	6.32514302682215	6.31710210849028	6.16668277632761	6.05383799977189	5.93231865450844	6.20865648898158	5.76963975997667	5.98244130086658	6.04325652427641	6.08778050688523	6.37932913960063	6.03867181695821	6.02364957049641	6.58085682407056	5.78692904404843	6.41035606612458	6.28875657809342	6.12792061025224	6.23155524216903
MYH16	3.65620615878245	3.67308529088904	3.54418007677355	3.6211356153668	3.77198525000236	3.5725251062946	3.6862467422543	3.71004481617025	3.55962501598008	3.64269401659236	3.6204533260985	3.55673526736701	3.74876374258358	3.70320196097802	3.68045509716181	3.5521211840748	3.52846823021923	3.57680529424474	3.66103557445603	3.55284163686448
BAD	6.02002623475747	5.71063417432036	5.94382663820165	5.98148279824834	5.89233818973913	6.0172584264169	6.26426571134654	5.68577543393928	5.93376266667234	5.85323698280062	5.7728717544443	5.81933408445537	5.97537176263971	5.97005995072372	5.8576467713737	5.86702930027075	5.52044411509399	6.02594130621262	5.79961775813869	5.67413176136825
LAP3	6.71488791145628	6.82177176938202	6.82414991584186	6.81121892988226	6.79858191912467	6.99309181397298	6.27992845642978	6.90230023291843	6.74874137455698	6.72218135543047	6.94617285719777	7.2296747969766	6.47992915107205	7.06432743544142	6.9113899566588	6.98468928396658	6.97552342286088	6.69005732731645	7.25726279346654	7.00449463783366
CD99	8.77234463773327	8.60945593439344	8.80103232085579	8.78320645496659	8.59260785095852	8.6021613434874	8.55940364051856	8.57393676145549	8.59888008282091	8.52114089436975	8.78683241254893	8.509236283978	9.03229725051321	8.82772508693631	8.37455616055421	8.61403198422049	8.8920434107661	8.81618595534167	8.77560148519867	8.67168621203495
HS3ST1	4.1922094800517	4.57755265427999	4.46363296837101	4.6297752791127	4.60560011666613	4.35638637016241	4.07579006667508	4.12026959418461	4.18497259863569	4.00360092327046	4.12040100863563	3.96598963823584	4.39280294074866	4.33490963502531	4.4350665696228	4.47629112246245	4.13394405060828	4.05914530826146	4.40231377772616	3.99321312691858
AOC1	4.34372181384984	3.85632766443551	4.22817837883812	4.86102286844896	4.43013925229956	4.51761354459187	4.35219302472612	4.06187642950969	4.32544451599781	4.34881476166077	4.18492835686902	3.80779333082366	3.70517723387577	4.40970323486728	4.59211357453262	4.34597953967602	4.03718069917525	4.18670269484417	4.26912914246447	4.75186403795578
WNT16	8.17479756222884	8.27098797954626	8.50959577586166	7.88119834505073	8.56245658074352	7.62801974234274	7.91330964906563	8.14476020024336	8.525952043853	8.12204100366332	7.22982151744108	7.6604106978856	7.10160116588125	7.88172781333352	8.40196023666779	8.09688849823061	7.81118449444472	7.3903687058698	7.94948755196219	8.92173897277636
HECW1	4.10913884471641	3.98627785893985	3.93826846927734	3.58344415640875	4.10502157206831	3.83237565785023	3.66550785062504	3.70695678741631	4.13187381172692	3.76621267442916	3.97963321921921	3.98560102920853	3.77196010064403	3.76557140366743	3.94106285750922	3.72661080497323	3.77979722256737	3.99530679623314	3.94865313116473	3.7677782369467
MAD1L1	5.36620634656834	5.32016935337201	5.39549568803018	5.01774115364473	5.30251143876092	5.08605379328636	5.28089257638415	5.03603511700737	5.28985388565601	5.36765470634413	5.25964762092571	5.44074827386356	5.32455279809446	5.23293030292887	5.64605044952402	5.50379571396325	5.22094229294846	5.15513777090608	5.24425269703916	5.35287935990768
LASP1	8.49327143701349	8.21568122149887	8.11706776523357	8.30527150514841	8.06459410707857	8.26239540220516	8.10386513025284	8.22640442982121	8.23849428883401	8.07688395803141	8.37027855888859	7.99887548075503	8.12298709197267	8.08796449336628	8.04178409294449	8.13543318995665	8.00595447732411	7.97445543482781	8.28719389782726	8.32827896996575
SNX11	6.71172642847273	6.61982686580484	6.77076874251817	6.68904666051607	6.71199254790049	6.74381638341202	6.77936509766705	7.21023252137907	6.88134346564406	7.03336653554761	6.82541340566244	6.83405852738871	6.86482883326869	6.86172265967177	6.97033239661444	6.65502245797136	6.89491006439413	6.77389135578554	7.06346566638358	7.00264256359489
TMEM176A	6.40868481923931	6.33377060591639	6.3378738101096	5.4394539684087	5.72213551456254	6.19163772207506	5.6955664554011	5.6160251666152	5.91988148016513	5.72499173730044	6.28482409322045	5.80649404328104	5.49411133190474	5.83917125988932	6.03521826965004	5.48855791960256	4.92189516037275	5.52835338130046	5.30977078117355	5.42710727017246
M6PR	7.6550555481032	7.66277354782924	7.37838416553458	7.45003739827452	7.27070980284519	7.69016700816744	7.39698332673562	7.75702772317696	7.62051470333777	7.41165297876407	7.56596786165375	7.5078522041768	7.7238590233429	7.86295277803909	7.56168243788748	7.82888939750116	7.27910893258415	7.62484257833168	7.61477679610041	7.61235070218772
KLHL13	3.75848947450176	3.48588766447817	3.6108041614857	4.00123611995813	3.61743837023487	3.7253621589426	3.51930060689878	3.69093235730133	3.59677388955902	3.27979848685674	3.75371666468507	3.43031369008824	3.94684819019213	3.64075631747505	3.60355289525647	3.96448501762767	3.75215457821111	3.52374389027843	3.57569245292043	4.09149141401215
CYP26B1	5.92333687993696	6.17029138247525	5.47024622023309	5.49365633116178	5.90183281637607	5.95238130600186	6.04561299050027	5.32326390485691	5.46151574814004	5.90533753467329	5.65244405581288	5.63056407610948	6.42621593092225	5.58750309021407	5.69030180744723	5.5875221640947	5.27056579541946	5.66989416004635	5.39485612362944	5.75540072852661
ICA1	4.67185033762976	4.39392532650092	4.2949987491368	4.78012046408682	4.93832644124163	4.64396536257399	5.03786672577116	4.83550203751146	4.81293547216073	4.28651954926363	4.37451165923586	4.76983493401266	4.55954386246897	4.23646977067613	4.85046204375963	4.46510226371233	5.12639674989865	5.04323278334284	4.97532634886616	5.09917245592315
DBNDD1	4.66350024839876	4.74986596595458	4.88204406153524	4.91082209973548	4.78991635673851	4.64107597469108	4.56787477380705	4.669776904612	4.82129661330164	4.7171510662723	4.63143002139197	4.82100013603149	4.62388564155361	4.65919644709512	4.4620635992909	4.74366200690507	4.95305081252446	5.03075926629967	4.51076100316917	4.82880949091133
