HGNC symbol	Gene decription	SkinSig signature
CHAC1	ChaC glutathione-specific gamma-glutamylcyclotransferase 1	Hair follicle
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	Hair follicle
DSG4	desmoglein 4	Hair follicle
GPRC5D	G protein-coupled receptor class C group 5 member D	Hair follicle
HOXC13	homeobox C13	Hair follicle
KRT25	keratin 25	Hair follicle
KRT27	keratin 27	Hair follicle
KRT31	keratin 31	Hair follicle
KRT32	keratin 32	Hair follicle
KRT33A	keratin 33A	Hair follicle
KRT33B	keratin 33B	Hair follicle
KRT34	keratin 34	Hair follicle
KRT35	keratin 35	Hair follicle
KRT36	keratin 36	Hair follicle
KRT40	keratin 40	Hair follicle
KRT71	keratin 71	Hair follicle
KRT74	keratin 74	Hair follicle
KRT75	keratin 75	Hair follicle
KRT81	keratin 81	Hair follicle
KRT82	keratin 82	Hair follicle
KRT83	keratin 83	Hair follicle
KRT85	keratin 85	Hair follicle
KRT86	keratin 86	Hair follicle
KRTAP10-11	keratin associated protein 10-11	Hair follicle
KRTAP10-12	keratin associated protein 10-12	Hair follicle
KRTAP1-1	keratin associated protein 1-1	Hair follicle
KRTAP11-1	keratin associated protein 11-1	Hair follicle
KRTAP1-3	keratin associated protein 1-3	Hair follicle
KRTAP13-1	keratin associated protein 13-1	Hair follicle
KRTAP1-5	keratin associated protein 1-5	Hair follicle
KRTAP17-1	keratin associated protein 17-1	Hair follicle
KRTAP19-1	keratin associated protein 19-1	Hair follicle
KRTAP2-1	keratin associated protein 2-1	Hair follicle
KRTAP2-2	keratin associated protein 2-2	Hair follicle
KRTAP2-3	keratin associated protein 2-3	Hair follicle
KRTAP2-4	keratin associated protein 2-4	Hair follicle
KRTAP3-1	keratin associated protein 3-1	Hair follicle
KRTAP3-2	keratin associated protein 3-2	Hair follicle
KRTAP3-3	keratin associated protein 3-3	Hair follicle
KRTAP4-1	keratin associated protein 4-1	Hair follicle
KRTAP4-11	keratin associated protein 4-11	Hair follicle
KRTAP4-12	keratin associated protein 4-12	Hair follicle
KRTAP4-2	keratin associated protein 4-2	Hair follicle
KRTAP4-3	keratin associated protein 4-3	Hair follicle
KRTAP4-4	keratin associated protein 4-4	Hair follicle
KRTAP4-5	keratin associated protein 4-5	Hair follicle
KRTAP4-6	keratin associated protein 4-6	Hair follicle
KRTAP4-7	keratin associated protein 4-7	Hair follicle
KRTAP4-8	keratin associated protein 4-8	Hair follicle
KRTAP4-9	keratin associated protein 4-9	Hair follicle
KRTAP5-8	keratin associated protein 5-8	Hair follicle
KRTAP8-1	keratin associated protein 8-1	Hair follicle
KRTAP9-2	keratin associated protein 9-2	Hair follicle
KRTAP9-3	keratin associated protein 9-3	Hair follicle
KRTAP9-4	keratin associated protein 9-4	Hair follicle
KRTAP9-9	keratin associated protein 9-9	Hair follicle
LYG2	lysozyme g2	Hair follicle
PADI3	peptidyl arginine deiminase 3	Hair follicle
PRR9	proline rich 9	Hair follicle
PSORS1C2	psoriasis susceptibility 1 candidate 2	Hair follicle
S100A3	S100 calcium binding protein A3	Hair follicle
TCHH	trichohyalin	Hair follicle
ACAA1	acetyl-CoA acyltransferase 1	Sebaceous gland
ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Sebaceous gland
ACAT2	acetyl-CoA acetyltransferase 2	Sebaceous gland
ACO1	aconitase 1	Sebaceous gland
ACOT1	acyl-CoA thioesterase 1	Sebaceous gland
ACOX2	acyl-CoA oxidase 2, branched chain	Sebaceous gland
ACSBG1	acyl-CoA synthetase bubblegum family member 1	Sebaceous gland
ACSL1	acyl-CoA synthetase long-chain family member 1	Sebaceous gland
ACSL5	acyl-CoA synthetase long-chain family member 5	Sebaceous gland
ACSM3	acyl-CoA synthetase medium-chain family member 3	Sebaceous gland
ACSS2	acyl-CoA synthetase short-chain family member 2	Sebaceous gland
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	Sebaceous gland
ALOX15B	arachidonate 15-lipoxygenase, type B	Sebaceous gland
APMAP	adipocyte plasma membrane associated protein	Sebaceous gland
APOC1	apolipoprotein C-I	Sebaceous gland
ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)	Sebaceous gland
AWAT1	acyl-CoA wax alcohol acyltransferase 1	Sebaceous gland
BCAT2	branched chain amino acid transaminase 2	Sebaceous gland
BRI3BP	BRI3 binding protein	Sebaceous gland
C1orf122	chromosome 1 open reading frame 122	Sebaceous gland
CECR2	cat eye syndrome chromosome region, candidate 2	Sebaceous gland
CHI3L1	chitinase 3 like 1	Sebaceous gland
CIDEA	cell death-inducing DFFA-like effector a	Sebaceous gland
CLMP	CXADR-like membrane protein	Sebaceous gland
CRAT	carnitine O-acetyltransferase	Sebaceous gland
CUX2	cut like homeobox 2	Sebaceous gland
CYB5A	cytochrome b5 type A	Sebaceous gland
CYP4F2	cytochrome P450 family 4 subfamily F member 2	Sebaceous gland
CYP4F8	cytochrome P450 family 4 subfamily F member 8	Sebaceous gland
DDC	dopa decarboxylase	Sebaceous gland
DDO	D-aspartate oxidase	Sebaceous gland
DGAT2	diacylglycerol O-acyltransferase 2	Sebaceous gland
DHRS9	dehydrogenase/reductase (SDR family) member 9	Sebaceous gland
EBP	emopamil binding protein (sterol isomerase)	Sebaceous gland
ELOVL3	ELOVL fatty acid elongase 3	Sebaceous gland
ELOVL5	ELOVL fatty acid elongase 5	Sebaceous gland
FA2H	fatty acid 2-hydroxylase	Sebaceous gland
FADS1	fatty acid desaturase 1	Sebaceous gland
FADS2	fatty acid desaturase 2	Sebaceous gland
FAR2	fatty acyl-CoA reductase 2	Sebaceous gland
FASN	fatty acid synthase	Sebaceous gland
FBP1	fructose-bisphosphatase 1	Sebaceous gland
FDPS	farnesyl diphosphate synthase	Sebaceous gland
GABRA4	gamma-aminobutyric acid type A receptor alpha4 subunit	Sebaceous gland
GAL	galanin/GMAP prepropeptide	Sebaceous gland
GLDC	glycine decarboxylase	Sebaceous gland
GLYATL1	glycine-N-acyltransferase like 1	Sebaceous gland
HACL1	2-hydroxyacyl-CoA lyase 1	Sebaceous gland
HADH	hydroxyacyl-CoA dehydrogenase	Sebaceous gland
HAO2	hydroxyacid oxidase 2	Sebaceous gland
HEATR4	HEAT repeat containing 4	Sebaceous gland
HGD	homogentisate 1,2-dioxygenase	Sebaceous gland
HLCS	holocarboxylase synthetase	Sebaceous gland
HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	Sebaceous gland
IDH1	isocitrate dehydrogenase 1 (NADP+)	Sebaceous gland
IDI1	isopentenyl-diphosphate delta isomerase 1	Sebaceous gland
INSIG1	insulin induced gene 1	Sebaceous gland
IPO5P1	importin 5 pseudogene 1	Sebaceous gland
KNSTRN	kinetochore-localized astrin/SPAG5 binding protein	Sebaceous gland
KRT79	keratin 79	Sebaceous gland
LDHD	lactate dehydrogenase D	Sebaceous gland
LINC01554	long intergenic non-protein coding RNA 1554	Sebaceous gland
MDH1	malate dehydrogenase 1	Sebaceous gland
METTL7B	methyltransferase like 7B	Sebaceous gland
MGST1	microsomal glutathione S-transferase 1	Sebaceous gland
MOGAT1	monoacylglycerol O-acyltransferase 1	Sebaceous gland
MOGAT2	monoacylglycerol O-acyltransferase 2	Sebaceous gland
